,lat,lng,title,duration,price,time
0,51.508026,-0.076073,Tower of London,2-3 hours,£29.90,10:00 AM - 4:00 PM
1,51.51117,-0.083555,Sky Garden,< 1 hour,£0.00,10:00 AM - 6:00 PM
2,51.513725,-0.099738,St. Paul's Cathedral,1-2 hours,£18.00,8:30 AM - 4:30 PM
3,51.511967,-0.122781,Covent Garden,2-3 hours,£0.00,12:00 AM - 11:59 PM
4,51.510418,-0.125205,Trafalgar Square,< 1 hour,£0.00,12:00 AM - 11:59 PM
5,51.51604,-0.134673,Oxford Street,2-3 hours,£0.00,404
6,51.519413,-0.126957,The British Museum,2-3 hours,£0.00,10:00 AM - 5:00 PM
7,51.5318,-0.124295,Harry Potter Shop at Platform 9 3/4,404,£0.00,8:00 AM - 10:00 PM
8,51.541428,-0.145533,Camden Market,More than 3 hours,£0.00,10:00 AM - 10:30 PM
9,51.52832,-0.15068,Regent's Park,1-2 hours,£0.00,5:00 AM - 9:30 PM
10,51.532215,-0.177712,Abbey Road,404,£0.00,12:00 AM - 11:59 PM
11,51.496326,-0.176369,Natural History Museum,More than 3 hours,£15.50,10:00 AM - 5:50 PM
12,51.496574,-0.17238,V&A  - Victoria and Albert Museum,2-3 hours,£0.00,404
13,51.507607,-0.165628,Hyde Park,2-3 hours,£0.00,5:00 AM - 12:00 AM
14,51.501366,-0.14189,Buckingham Palace,2-3 hours,£0.00,11:00 AM - 5:00 PM
15,51.50397,-0.12901,St. James's Park,1-2 hours,£0.00,5:00 AM - 12:00 AM
16,51.502163,-0.129357,Churchill War Rooms,2-3 hours,£27.50,404
17,51.4994,-0.1275,Westminster Abbey,1-2 hours,£24.00,9:30 AM - 3:30 PM
18,51.5015009,-0.1257795,City Cruises Thames River Pass,,£21.00,
19,51.49951,-0.124787,Houses of Parliament,1-2 hours,£29.00,12:00 AM - 12:00 AM
20,51.503387,-0.119625,London Eye,1-2 hours,£27.00,11:00 AM - 6:00 PM
21,51.495914,-0.108748,Imperial War Museum London,2-3 hours,£0.00,404
22,51.505512,-0.090481,Borough Market,404,£0.00,10:00 AM - 5:00 PM
23,51.5046,-0.08667,The Shard,1-2 hours,£29.80,404
24,51.505455,-0.075351,Tower Bridge,1-2 hours,£10.26,9:30 AM - 6:00 PM
